Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
254,Cameron Johnson\johnsca02,PF,24,PHO,55,11,23.9,3.5,8.0,.438,2.1,5.5,.370,1.5,2.5,.588,.566,0.8,0.9,.865,0.5,2.7,3.2,1.5,0.6,0.3,0.7,1.4,9.9
255,James Johnson\johnsja01,PF,33,TOT,40,6,20.1,2.7,6.1,.442,0.6,2.4,.260,2.1,3.7,.562,.494,0.9,1.3,.642,0.6,2.7,3.3,2.0,0.9,0.9,1.1,2.3,6.8
255,James Johnson\johnsja01,PF,33,DAL,29,1,17.4,2.3,5.0,.462,0.5,2.1,.250,1.8,2.9,.612,.514,0.6,1.0,.586,0.5,2.5,3.0,1.7,0.8,0.8,0.9,2.0,5.7
255,James Johnson\johnsja01,PF,33,NOP,11,5,27.2,3.6,8.8,.412,0.9,3.3,.278,2.7,5.5,.492,.464,1.5,2.2,.708,0.7,3.4,4.1,2.7,0.9,1.3,1.5,3.0,9.7
256,Keldon Johnson\johnske04,SF,21,SAS,57,55,28.7,5.0,10.3,.483,0.9,2.7,.342,4.1,7.6,.532,.527,2.0,2.8,.723,1.5,4.9,6.4,1.8,0.6,0.4,1.1,2.1,12.9
257,Stanley Johnson\johnsst04,PF,24,TOR,51,6,14.5,1.2,2.9,.396,0.6,1.7,.352,0.5,1.2,.459,.500,0.5,0.6,.828,0.4,1.9,2.3,1.2,0.8,0.3,0.8,1.7,3.4
258,Tyler Johnson\johnsty01,SG,28,BRK,32,2,16.8,1.8,4.6,.401,1.3,3.3,.381,0.6,1.3,.452,.537,0.5,0.6,.842,0.2,1.7,1.9,1.0,0.4,0.0,0.4,1.0,5.4
259,Nikola Jokić\jokicni01,C,25,DEN,61,61,35.2,10.2,18.1,.567,1.4,3.3,.409,8.9,14.7,.603,.605,4.3,5.1,.858,2.9,8.1,11.0,8.7,1.4,0.6,3.2,2.7,26.2
260,Damian Jones\jonesda03,C,25,TOT,28,8,10.7,1.1,1.6,.696,0.0,0.0,.000,1.1,1.6,.711,.696,0.9,1.2,.727,0.8,1.5,2.4,0.3,0.2,0.5,0.6,1.8,3.1
260,Damian Jones\jonesda03,C,25,PHO,14,0,6.7,0.6,1.1,.500,0.0,0.1,.000,0.6,1.1,.533,.500,0.4,0.8,.545,0.5,0.8,1.3,0.3,0.1,0.4,0.4,1.4,1.6
260,Damian Jones\jonesda03,C,25,LAL,8,6,14.0,2.0,2.1,.941,0.0,0.0,,2.0,2.1,.941,.941,1.4,1.5,.917,1.0,2.3,3.3,0.1,0.1,0.9,0.6,2.8,5.4
260,Damian Jones\jonesda03,C,25,SAC,6,2,15.5,1.3,2.2,.615,0.0,0.0,,1.3,2.2,.615,.615,1.2,1.7,.700,1.3,2.3,3.7,0.7,0.5,0.5,1.0,1.5,3.8
261,Derrick Jones Jr.\jonesde02,SF,23,POR,53,42,23.8,2.6,5.5,.478,0.8,2.5,.323,1.8,3.0,.606,.551,1.0,1.6,.640,1.4,2.4,3.8,0.8,0.7,1.0,0.5,2.2,7.1
262,Mason Jones\jonesma05,SG,22,TOT,32,1,10.4,1.6,3.8,.423,0.8,2.1,.364,0.9,1.8,.491,.520,1.3,2.0,.625,0.2,1.5,1.7,1.3,0.2,0.0,0.9,0.8,5.3
262,Mason Jones\jonesma05,SG,22,HOU,26,1,11.8,1.8,4.4,.412,0.9,2.5,.359,0.9,1.9,.480,.513,1.3,2.2,.614,0.2,1.8,2.0,1.5,0.2,0.0,1.1,0.8,5.8
262,Mason Jones\jonesma05,SG,22,PHI,6,0,4.5,0.8,1.5,.556,0.2,0.3,.500,0.7,1.2,.571,.611,0.8,1.2,.714,0.5,0.2,0.7,0.5,0.2,0.0,0.2,0.3,2.7
263,Tre Jones\jonestr01,PG,21,SAS,29,0,5.4,0.8,1.7,.458,0.1,0.1,.667,0.7,1.6,.444,.479,0.3,0.3,1.000,0.2,0.3,0.4,0.7,0.2,0.0,0.4,0.3,1.9
264,Tyus Jones\jonesty01,PG,24,MEM,58,8,18.4,2.8,6.3,.438,0.7,2.2,.312,2.1,4.2,.502,.490,0.6,0.6,.917,0.3,1.8,2.1,3.9,1.0,0.1,0.7,0.5,6.8
265,DeAndre Jordan\jordade01,C,32,BRK,53,41,22.3,3.5,4.4,.779,0.0,0.0,.000,3.5,4.4,.782,.779,0.8,1.5,.506,2.0,5.5,7.5,1.7,0.3,1.2,1.5,2.1,7.7
266,Cory Joseph\josepco01,PG,29,TOT,60,10,22.7,3.1,6.5,.469,0.7,2.1,.344,2.4,4.5,.528,.524,1.2,1.4,.812,0.6,1.9,2.5,3.2,1.0,0.3,1.2,2.2,8.0
266,Cory Joseph\josepco01,PG,29,SAC,44,2,21.5,2.5,5.7,.444,0.7,2.1,.330,1.8,3.5,.513,.506,0.8,1.1,.766,0.6,1.7,2.3,2.5,0.9,0.2,1.0,2.2,6.6
266,Cory Joseph\josepco01,PG,29,DET,16,8,26.1,4.6,8.9,.514,0.8,1.9,.387,3.8,6.9,.550,.556,2.1,2.4,.868,0.5,2.6,3.1,5.4,1.2,0.4,1.8,2.1,11.9
267,Mfiondu Kabengele\kabenmf01,PF,23,TOT,28,0,4.5,0.4,1.4,.300,0.2,0.8,.217,0.3,0.6,.412,.363,0.3,0.3,.875,0.0,0.6,0.7,0.3,0.1,0.1,0.3,0.9,1.3
267,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,0,4.1,0.4,1.4,.281,0.2,0.8,.222,0.2,0.6,.357,.344,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
267,Mfiondu Kabengele\kabenmf01,PF,23,CLE,5,0,6.6,0.6,1.6,.375,0.2,1.0,.200,0.4,0.6,.667,.438,0.4,0.4,1.000,0.0,1.0,1.0,0.4,0.4,0.2,0.2,1.2,1.8
268,Frank Kaminsky\kaminfr01,C,27,PHO,36,13,14.4,2.3,5.1,.462,0.8,1.9,.397,1.6,3.2,.500,.536,0.7,1.2,.605,0.7,2.9,3.6,1.6,0.4,0.4,0.5,1.3,6.1
269,Enes Kanter\kanteen01,C,28,POR,60,35,25.8,5.0,8.2,.611,0.0,0.0,.000,5.0,8.1,.613,.611,1.9,2.4,.781,4.1,7.3,11.4,1.3,0.5,0.7,1.2,2.5,11.9
270,Luke Kennard\kennalu01,SG,24,LAC,56,15,19.9,3.2,6.6,.477,1.6,3.6,.460,1.5,3.1,.497,.601,0.4,0.5,.828,0.3,2.5,2.7,1.7,0.4,0.2,0.8,1.5,8.4
271,Maxi Kleber\klebima01,PF,29,DAL,44,37,27.3,2.3,5.5,.417,1.7,4.2,.413,0.5,1.3,.429,.575,0.7,0.8,.914,0.9,4.4,5.3,1.3,0.5,0.7,0.7,2.3,7.0
272,Nathan Knight\knighna01,PF,23,ATL,28,0,8.1,1.0,2.8,.367,0.2,0.9,.192,0.9,1.9,.453,.399,1.3,1.6,.822,0.8,1.2,2.0,0.2,0.3,0.3,0.5,0.7,3.6
273,Kevin Knox\knoxke01,SF,21,NYK,38,0,11.9,1.4,3.6,.399,0.9,2.3,.391,0.6,1.3,.412,.522,0.4,0.5,.778,0.3,1.3,1.6,0.5,0.3,0.2,0.4,1.0,4.2
274,John Konchar\konchjo01,SG,24,MEM,35,0,13.4,1.4,3.0,.457,0.4,1.2,.366,0.9,1.8,.516,.529,0.6,0.7,.833,0.7,2.1,2.8,1.1,0.9,0.2,0.5,1.0,3.7
275,Furkan Korkmaz\korkmfu01,SG,23,PHI,48,10,19.8,3.2,7.9,.408,1.9,4.9,.381,1.3,2.9,.454,.528,1.2,1.6,.734,0.3,1.8,2.0,1.4,0.9,0.2,0.9,1.2,9.5
276,Luke Kornet\kornelu01,PF-C,25,TOT,24,0,9.4,1.0,2.7,.385,0.5,1.9,.283,0.5,0.8,.632,.485,0.1,0.3,.500,0.3,1.5,1.8,0.6,0.1,0.8,0.1,0.5,2.8
276,Luke Kornet\kornelu01,PF,25,CHI,13,0,7.2,0.7,2.1,.333,0.5,1.8,.261,0.2,0.3,.750,.444,0.2,0.3,.500,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2.0
276,Luke Kornet\kornelu01,C,25,BOS,11,0,11.9,1.5,3.5,.421,0.6,2.1,.304,0.8,1.4,.600,.513,0.1,0.2,.500,0.5,1.9,2.5,0.9,0.0,1.0,0.2,0.9,3.6
277,Rodions Kurucs\kurucro01,SF-PF,22,TOT,21,0,6.0,0.5,1.5,.344,0.3,1.0,.286,0.2,0.5,.455,.438,0.1,0.2,.750,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8,1.5
